epoch,step,train_loss,val_loss
0,49,0.11527995020151138,
0,99,0.02784317545592785,
0,149,0.028282949700951576,
0,199,0.044341791421175,
0,249,0.02158518135547638,
0,299,0.012865254655480385,
0,349,0.010161555372178555,
0,399,0.040732242166996,
0,449,0.0377090685069561,
0,499,0.018747784197330475,
0,549,0.03773484751582146,
0,599,0.012180064804852009,
0,649,0.023629136383533478,
0,699,0.026721002534031868,
0,749,0.008493293076753616,
0,760,,0.05574893578886986
1,799,0.04348437860608101,
1,849,0.09757175296545029,
1,899,0.018823277205228806,
1,949,0.04972568154335022,
1,999,0.015669377520680428,
