epoch,step,train_loss,val_loss
0,9,0.017995286732912064,
0,19,0.04241301491856575,
0,29,0.07710081338882446,
0,39,0.012923657894134521,
0,49,0.016291094943881035,
0,59,0.05384896695613861,
0,62,,0.05989398434758186
1,69,0.05739760771393776,
1,79,0.01303845178335905,
1,89,0.015069997869431973,
1,99,0.11014823615550995,
1,109,0.09081405401229858,
1,119,0.09179982542991638,
1,125,,0.05826176702976227
2,129,0.18074357509613037,
2,139,0.012440251186490059,
2,149,0.026150651276111603,
2,159,0.009001035243272781,
2,169,0.011304806917905807,
2,179,0.07205096632242203,
2,188,,0.05664891377091408
3,189,0.011647257953882217,
3,199,0.023597046732902527,
3,209,0.06102020666003227,
3,219,0.011151358485221863,
3,229,0.02464343048632145,
3,239,0.11516643315553665,
3,249,0.03172033280134201,
3,251,,0.052912596613168716
4,259,0.04395917430520058,
4,269,0.016330372542142868,
4,279,0.014216296374797821,
4,289,0.03510548919439316,
4,299,0.01590154878795147,
4,309,0.02178649790585041,
4,314,,0.04898872599005699
