ticker,window,mape,dir_acc,variance_ratio
^GSPC,0,2.5877370834350586,45.3125,0.05698566
^GSPC,1,1.9645658731460571,55.46875,0.49598324
^GSPC,2,3.3700437545776367,46.09375,0.08095624
^GSPC,3,3.825862407684326,49.21875,0.082018934
^GSPC,4,5.880832195281982,46.09375,0.068311565
^GSPC,5,9.302321434020996,57.03125,0.016726846
^GSPC,6,6.999735355377197,41.40625,0.0016564551
^GSPC,7,5.710574626922607,52.34375,0.007729876
^GSPC,8,4.28123664855957,59.375,0.0039087576
^GSPC,9,5.176567077636719,56.25,0.07552427
^GSPC,10,3.270946502685547,48.4375,0.029975738
^GSPC,11,3.3478288650512695,64.84375,0.052003186
^GSPC,12,3.164846420288086,50.78125,0.019013919
^GSPC,13,5.56942892074585,50.0,0.0038894636
^GSPC,14,7.642091751098633,52.34375,0.0040527363
AAPL,0,4.244086742401123,48.4375,0.021422237
AAPL,1,3.4793918132781982,46.09375,0.024163723
AAPL,2,11.691650390625,57.03125,0.011102911
AAPL,3,16.41063690185547,45.3125,0.008316459
AAPL,4,14.800737380981445,49.21875,0.0022970515
AAPL,5,8.33860969543457,48.4375,0.0021675164
AAPL,6,5.7768144607543945,50.78125,0.014559962
AAPL,7,10.207481384277344,45.3125,0.017916808
AAPL,8,21.482666015625,46.875,0.017303905
AAPL,9,7.432189464569092,49.21875,0.009099751
AAPL,10,5.0423383712768555,43.75,0.0037445982
AAPL,11,3.4020543098449707,58.59375,0.0136509575
AAPL,12,3.5727858543395996,40.625,0.013002388
AAPL,13,11.787286758422852,50.0,0.009440727
AAPL,14,19.92192840576172,54.6875,0.0010996537
JNJ,0,12.426555633544922,54.6875,0.0022081137
JNJ,1,13.297733306884766,42.1875,0.000908612
JNJ,2,15.396507263183594,45.3125,0.0022252824
JNJ,3,15.671399116516113,51.5625,0.004366638
JNJ,4,13.497272491455078,46.875,0.0009120079
JNJ,5,9.265825271606445,50.78125,0.0011406218
JNJ,6,5.636834144592285,46.875,0.014074203
JNJ,7,4.569706439971924,43.75,0.0007537433
JNJ,8,5.633906364440918,52.34375,0.0068884958
JNJ,9,3.417289972305298,42.96875,0.021081738
JNJ,10,4.4462480545043945,60.15625,0.0012774939
JNJ,11,4.295493125915527,44.53125,0.011406311
JNJ,12,4.168984413146973,43.75,0.008123065
JNJ,13,6.176342964172363,55.46875,0.009333992
JNJ,14,5.34722375869751,54.6875,0.015633252
JPM,0,4.284496784210205,45.3125,0.28473297
JPM,1,5.231947898864746,56.25,0.5984289
JPM,2,2.5212197303771973,44.53125,0.6429669
JPM,3,2.0865116119384766,54.6875,1.0571138
JPM,4,6.090625286102295,56.25,0.6848321
JPM,5,10.298585891723633,54.6875,0.17632836
JPM,6,9.445039749145508,42.96875,0.05254872
JPM,7,7.523767471313477,49.21875,0.17577282
JPM,8,7.532814025878906,50.78125,0.014086544
JPM,9,4.819281101226807,46.875,0.16424347
JPM,10,11.753119468688965,46.875,0.016344307
JPM,11,6.942370414733887,49.21875,0.04835589
JPM,12,4.549068450927734,56.25,0.14620563
JPM,13,5.556097030639648,44.53125,0.06657176
JPM,14,2.914170980453491,56.25,0.27074745
XOM,0,16.926240921020508,47.65625,0.0011149026
XOM,1,13.92829704284668,53.90625,0.00020691122
XOM,2,7.289725303649902,45.3125,0.004434502
XOM,3,5.562226295471191,57.03125,0.032232374
XOM,4,6.702558517456055,47.65625,0.04648834
XOM,5,3.3238773345947266,50.0,0.050391257
XOM,6,5.175236701965332,42.96875,0.0017918908
XOM,7,3.0818543434143066,46.09375,0.012172177
XOM,8,3.8015663623809814,57.03125,0.0032042302
XOM,9,8.158448219299316,46.875,0.008403435
XOM,10,9.469893455505371,46.09375,0.0071478914
XOM,11,4.835901737213135,52.34375,0.003614532
XOM,12,3.266801357269287,51.5625,0.0047015613
XOM,13,4.4673919677734375,48.4375,0.017880805
XOM,14,4.215909004211426,53.125,0.022909041
PG,0,3.8957581520080566,49.21875,0.034573164
PG,1,3.864349126815796,58.59375,0.007182299
PG,2,3.8750133514404297,54.6875,0.0070473966
PG,3,4.321863651275635,55.46875,0.0062742135
PG,4,6.785526275634766,50.78125,0.032161225
PG,5,5.768097877502441,52.34375,0.0821936
PG,6,4.576370716094971,46.875,0.0013180933
PG,7,4.911487579345703,44.53125,0.053267036
PG,8,2.792285680770874,44.53125,0.007827845
PG,9,2.4197065830230713,54.6875,0.0085989265
PG,10,2.122128963470459,43.75,0.010547457
PG,11,2.2125792503356934,56.25,0.027162896
PG,12,2.0958633422851562,46.875,0.013224971
PG,13,2.563058853149414,43.75,0.027917616
PG,14,3.449103355407715,40.625,0.012407218
CAT,0,19.647117614746094,47.65625,0.0067171864
CAT,1,20.128551483154297,46.875,0.0020231465
CAT,2,23.1073055267334,47.65625,0.0004940154
CAT,3,19.18699073791504,47.65625,0.0020217414
CAT,4,22.73834800720215,50.78125,0.0008936757
CAT,5,23.912513732910156,54.6875,0.00032157265
CAT,6,13.764062881469727,50.0,0.0021914123
CAT,7,10.213907241821289,55.46875,0.0037483333
CAT,8,9.297232627868652,50.0,0.004100928
CAT,9,12.62324333190918,50.78125,0.009450205
CAT,10,9.225050926208496,57.8125,0.0059254905
CAT,11,6.530885219573975,56.25,0.004684795
CAT,12,6.034608840942383,50.0,0.01679394
CAT,13,10.714821815490723,46.875,0.010265781
CAT,14,6.73383903503418,50.0,0.020540182
NEE,0,6.1437668800354,48.4375,0.005147768
NEE,1,4.925381183624268,47.65625,0.005959865
NEE,2,12.261815071105957,48.4375,0.004897589
NEE,3,6.318513870239258,53.125,0.011623257
NEE,4,5.336014270782471,48.4375,0.055355713
NEE,5,8.237725257873535,53.125,0.019582216
NEE,6,3.2261669635772705,51.5625,0.24402523
NEE,7,3.1428780555725098,51.5625,0.11011506
NEE,8,4.845293045043945,42.96875,0.028977225
NEE,9,6.745212554931641,53.125,0.044208
NEE,10,13.592645645141602,47.65625,0.0048325765
NEE,11,8.588802337646484,49.21875,0.009402341
NEE,12,7.454434871673584,47.65625,0.0743062
NEE,13,4.172903060913086,50.0,0.08440941
NEE,14,12.942317008972168,60.15625,0.00904717
AMT,0,2.589879035949707,53.125,0.0028135865
AMT,1,3.4545347690582275,43.75,0.0079446575
AMT,2,9.118932723999023,49.21875,0.0024836815
AMT,3,20.426658630371094,42.96875,0.026898373
AMT,4,7.799685955047607,47.65625,0.0014200431
AMT,5,6.413572311401367,53.125,0.006907359
AMT,6,3.2615416049957275,57.8125,0.0071274736
AMT,7,10.667884826660156,50.78125,0.0016331765
AMT,8,10.850156784057617,46.875,0.0014750375
AMT,9,7.134263038635254,51.5625,0.0014199514
AMT,10,8.479634284973145,46.875,0.0063959444
AMT,11,10.633888244628906,53.125,0.001162987
AMT,12,7.271847248077393,53.90625,0.007119986
AMT,13,8.77568244934082,50.0,0.005590222
AMT,14,18.339406967163086,56.25,0.0011766371
WMT,0,13.87036418914795,43.75,0.008536322
WMT,1,9.189667701721191,49.21875,0.035938267
WMT,2,9.968117713928223,54.6875,0.043101307
WMT,3,6.052446365356445,46.875,0.05093992
WMT,4,2.8261239528656006,42.1875,0.23438403
WMT,5,3.5929791927337646,46.09375,0.95458406
WMT,6,3.965632915496826,52.34375,0.46615162
WMT,7,15.03286361694336,44.53125,0.92158115
WMT,8,5.481897830963135,52.34375,0.45869827
WMT,9,6.335837364196777,53.90625,0.26184282
WMT,10,6.435032844543457,46.09375,0.23350996
